Joomla ID	Title	Issue type	Value
269	Zajednica otvorene nauke Srbije	Joomla link	index.php/vise-o-oscs
286	O Zajednici otvorene nauke Srbije	Joomla link	index.php/pristupnica?lang=sr
291	Članstvo	Joomla link	index.php/clanstvo/uclanite-se
294	Osnivački sastanak OSCS održan 02.11.2021.	Joomla link	index.php/pristupnica?lang=sr
298	Radionica: Zenodo za istraživače, nastavnike i saradnike	Joomla link	https://commons.wikimedia.org/w/index.php?curid=61782366
305	Učlanite se u OSCS!	Joomla link	index.php/clanstvo/kodeks-oscs
305	Učlanite se u OSCS!	Joomla link	index.php/clanstvo/nasi-clanovi
311	Poziv za NI4OS-Europe servise se uskoro zatvara!	Joomla link	https://open.ac.rs/index.php/vesti/8-vesti/288-testirajte-ni4os-europe-servise
314	Dani otvorene nauke u Srbiji!	Joomla link	https://www.bg.ac.rs/index.php
314	Dani otvorene nauke u Srbiji!	Joomla link	https://open.ac.rs/index.php/osd2022
314	Dani otvorene nauke u Srbiji!	Joomla link	https://open.ac.rs/index.php/registration-form
316	PREDAVANJE: Praktični aspekti otvorene nauke – razmišljanja jednog hemičara	Joomla link	https://ihtm.bg.ac.rs/index.php/sr/cv-centar-za-hemiju/887-matija-zlatar
316	PREDAVANJE: Praktični aspekti otvorene nauke – razmišljanja jednog hemičara	Joomla link	https://open.ac.rs/index.php/osd2022
318	PREDAVANJE: Otvoreni istraživački podaci iz ugla istraživača	Joomla link	https://automatika.etf.bg.ac.rs/index.php/sr/nastavnici/92-nastavnici/180-msc-nadica-miljkovi%C4%87
318	PREDAVANJE: Otvoreni istraživački podaci iz ugla istraživača	Joomla link	https://www.ibiss.bg.ac.rs/index.php/sr-yu/
321	Radionica REPOPSI 2.0	Joomla link	index.php/kategorije/10-kategorije/309-radionica-repopsi-otvoreni-repozitorijum-psiholoskih-instrumenata
322	Specijalno izdanje časopisa Primenjena psihologija posvećeno otvorenoj nauci	Joomla link	https://primenjena.psihologija.ff.uns.ac.rs/index.php/pp/index
322	Specijalno izdanje časopisa Primenjena psihologija posvećeno otvorenoj nauci	Joomla link	https://primenjena.psihologija.ff.uns.ac.rs/index.php/pp/index
322	Specijalno izdanje časopisa Primenjena psihologija posvećeno otvorenoj nauci	Joomla link	https://primenjena.psihologija.ff.uns.ac.rs/index.php/pp/index
322	Specijalno izdanje časopisa Primenjena psihologija posvećeno otvorenoj nauci	Joomla link	https://primenjena.psihologija.ff.uns.ac.rs/index.php/pp/announcement/view/26
326	REPOPSI je osvojio nagradu!	Joomla link	index.php/kategorije/10-kategorije/309-radionica-repopsi-otvoreni-repozitorijum-psiholoskih-instrumenata
326	REPOPSI je osvojio nagradu!	Joomla link	index.php/kategorije/10-kategorije/321-radionica-repopsi2
327	OSCS kao primer dobre prakse u EIFL blogu!	Joomla link	https://www.itn.sanu.ac.rs/index.php/sr-latn-rs/
328	PSSOH konferencija	Joomla link	https://www.itn.sanu.ac.rs/index.php/sr-latn-rs/strucne-sluzbe-2/milica-sevkusic
329	PSSOH - otvorena panel diskusija	Joomla link	index.php/clanstvo/nasi-clanovi/304-obrad-vuckovac
329	PSSOH - otvorena panel diskusija	Joomla link	index.php/clanstvo/nasi-clanovi/301-nadica-miljkovic
329	PSSOH - otvorena panel diskusija	Joomla link	index.php/clanstvo/nasi-clanovi/303-milica-sevkusic
331	Predavanje: Knjiženstvo	Joomla link	https://journal.knjizenstvo.rs/index.php/knjizenstvo
336	TIER2 nagrada dodeljena srpskom timu za osnivanje Mreže reproducibinosti!	Joomla link	https://www.itn.sanu.ac.rs/index.php/sr-latn-rs/
337	BTSCON 2024: Besplatna onlajn konferencija o kolaborativnim istraživanjima	Joomla link	index.php/kategorije/10-kategorije/335-hakaton-otvorena-nauka-i-kolaborativna-istrazivanja
339	Konferencija: Dan otvorene nauke V u Srbiji	Joomla link	https://open.ac.rs/index.php/dan-otvorene-nauke-v
339	Konferencija: Dan otvorene nauke V u Srbiji	Joomla link	https://commons.wikimedia.org/w/index.php?curid=45401120
340	OSCS je predstavljena na Danu otvorene nauke V u Srbiji	Joomla link	https://open.ac.rs/index.php/dan-otvorene-nauke-v
340	OSCS je predstavljena na Danu otvorene nauke V u Srbiji	Joomla link	index.php/pristupnica?lang=sr
340	OSCS je predstavljena na Danu otvorene nauke V u Srbiji	Joomla link	index.php/pristupnica?lang=sr
341	Conference: Open Science Day V in Serbia	Joomla link	https://open.ac.rs/index.php/dan-otvorene-nauke-v
341	Conference: Open Science Day V in Serbia	Joomla link	https://commons.wikimedia.org/w/index.php?curid=45401120
343	OSCS is presented during the Open Science Day in Serbia	Joomla link	https://open.ac.rs/index.php/dan-otvorene-nauke-v
343	OSCS is presented during the Open Science Day in Serbia	Joomla link	index.php/pristupnica?lang=sr
346	Open Science Community Serbia	Joomla link	index.php/en/about-oscs
347	About Open Science Community Serbia	Joomla link	index.php/pristupnica?lang=sr
359	The Official Launch of the Serbian Reproducibility Network (RS-RN) 	Joomla link	https://reproducibility.rs/index.php/en
359	The Official Launch of the Serbian Reproducibility Network (RS-RN) 	Joomla link	https://reproducibility.rs/index.php/en/component/content/article/the-official-launch-of-the-serbian-reproducibility-network-rs-rn?catid=11
360	Zvanična inaguracija Srpske mreže za reproducibilnost istraživanja (RS-RN)	Joomla link	https://reproducibility.rs/index.php/sr
360	Zvanična inaguracija Srpske mreže za reproducibilnost istraživanja (RS-RN)	Joomla link	https://reproducibility.rs/index.php/sr/component/content/article/zvanicno-pokretanje-srpske-mreze-za-reproducibilnost-istrazivanja-rs-rn?catid=15
